DQAID,WID,TSN,T7_1,T7_2,T7_3,T7_4,T7_5,T7_6,T7_7,T7_8,T7_9,T7_10,T7_11,LAST SYNC DATE
3418774448,10079056,1,6,1,1,5,1,1,3,8,2,2,2,23/01/2019,
3418774448,10079056,2,2,1,1,10,1,4,3,8,2,1,2,23/01/2019,
3317280544,10071130,1,2,1,1,4,2,1,3,11,1,1,1,04/01/2019,
3317180135,10071280,1,4,1,1,4,2,1,3,11,2,1,2,04/01/2019,
3317151642,10071212,1,3,1,1,9,2,6,1,2,2,1,1,08/04/2019,
3317250916,10076243,1,6,1,1,1,2,1,3,13,2,2,2,04/01/2019,
3317619428,10076359,1,2,1,1,9,1,1,1,4,2,2,2,04/01/2019,
3317957483,10071782,1,2,1,1,7,2,2,1,6,2,1,1,04/01/2019,
3418577747,10078640,1,3,1,1,11,1,4,3,8,2,1,1,12/01/2019,
3418467334,10078652,1,4,1,1,12,1,6,1,4,2,1,1,22/03/2019,
3418000470,10078720,1,3,1,1,12,2,5,1,1,2,1,1,14/01/2019,
3317474420,10071215,1,2,1,1,4,2,1,3,11,2,1,1,20/09/2018,
3317334279,10076442,1,6,1,1,5,1,1,3,8,2,1,1,29/12/2018,
3317740661,10077531,1,6,1,1,5,1,1,3,8,2,1,1,29/12/2018,
3317858792,10076426,1,6,1,1,5,1,1,3,8,2,1,1,04/01/2019,
3317732584,10071848,1,6,1,1,5,2,6,3,11,1,1,1,04/01/2019,
3317892602,10076739,1,6,1,1,5,1,1,3,8,2,1,1,04/01/2019,
3317854230,10077808,1,6,1,1,5,1,1,3,13,2,1,1,26/12/2018,
3317074229,10076938,1,6,1,1,5,1,1,1,6,2,1,1,04/01/2019,
3317381315,10077660,1,6,1,2,3,2,1,3,13,2,1,2,26/12/2018,
3317802346,10077288,1,6,1,1,5,1,1,3,8,2,1,1,04/01/2019,
3317299913,10077193,1,,1,1,,2,1,1,4,2,,,04/01/2019,
3317845998,10076818,1,5,1,1,4,1,1,3,8,2,2,2,04/01/2019,
3317502645,10075331,1,4,1,1,5,1,1,1,1,2,2,2,23/10/2018,
3317977179,10080538,1,6,1,1,4,1,1,3,13,2,2,2,21/02/2019,
3317968938,10071878,1,2,1,1,4,2,1,3,11,2,1,1,04/01/2019,
3317871942,10071284,1,4,1,1,9,1,6,3,11,2,1,2,04/01/2019,
3317043771,10071868,1,3,1,1,5,1,6,1,4,2,1,2,04/01/2019,
3317231855,10071942,1,4,1,1,10,1,2,1,4,2,1,1,12/04/2019,
3317591339,10076073,1,3,1,1,5,1,1,1,4,2,2,2,29/10/2018,
3317168425,10073002,1,4,1,1,5,1,1,1,4,2,2,2,04/10/2018,
3317727802,10071402,1,2,1,1,4,2,1,3,18,2,1,1,04/01/2019,
3317241700,10071410,1,6,1,1,5,2,1,1,6,1,2,2,08/04/2019,
3317577421,10071255,1,6,1,1,5,1,1,3,8,2,2,2,04/01/2019,
3317409768,10076427,1,2,1,1,9,2,6,3,11,2,1,1,04/01/2019,
3317561387,10072234,1,6,1,1,5,2,1,3,8,1,2,2,26/04/2019,
3317856352,10073771,1,5,1,1,5,1,1,3,8,2,1,1,04/01/2019,
3317696772,10076477,1,6,1,1,4,2,1,1,4,2,1,1,04/01/2019,
3318619791,10073849,1,3,1,1,4,1,2,1,4,2,2,2,10/10/2018,
3318915229,10073801,1,2,1,1,4,1,1,3,40,2,2,2,24/04/2019,
3318472648,10078784,1,6,1,,4,2,1,1,1,1,2,2,16/01/2019,
3217430689,10077117,1,5,1,1,2,1,1,1,5,2,2,2,04/01/2019,
3217955192,10076383,1,5,1,1,5,2,1,1,6,2,2,2,04/01/2019,
3317002990,10080558,1,6,1,1,4,2,1,3,13,1,2,2,21/02/2019,
3317300848,10071833,1,2,1,1,4,2,1,1,6,2,2,2,04/01/2019,
3317731859,10073945,1,5,1,1,4,2,1,3,13,2,2,2,04/01/2019,
3317765486,10076227,1,2,1,1,9,2,2,3,13,2,1,1,04/01/2019,
3317952548,10076460,1,4,1,1,7,1,1,3,11,2,2,2,04/01/2019,
3317589052,10076367,1,4,1,1,9,1,1,3,11,2,2,2,19/04/2019,
3317994358,10076377,1,,1,1,,2,2,1,1,2,,,04/01/2019,
3317918290,10072276,1,5,1,1,10,2,1,3,11,2,2,2,15/04/2019,
3317499120,10075704,1,5,1,1,4,2,1,3,13,1,2,2,04/01/2019,
3317546081,10076467,1,6,1,1,5,1,2,3,8,1,1,1,14/03/2019,
3317895004,10076472,1,2,1,1,3,1,1,3,8,2,1,1,04/01/2019,
3418420256,10079058,2,4,1,1,2,1,6,3,24,2,2,2,23/01/2019,
3317654775,10071196,1,4,1,1,7,2,1,1,4,2,1,1,04/01/2019,
3317527182,10076414,1,6,1,1,5,2,1,3,13,2,1,1,04/01/2019,
3317175009,10077285,1,6,1,1,5,1,1,3,8,2,1,1,30/01/2019,
3317854075,10071589,1,4,1,1,9,2,6,3,11,2,1,1,08/04/2019,
3317081036,10071171,1,3,1,1,4,2,1,1,2,2,2,2,04/01/2019,
3317110008,10076228,1,5,1,1,4,1,1,3,11,2,2,2,16/04/2019,
3317757526,10072506,1,4,1,1,4,2,1,3,11,2,2,2,06/03/2019,
3418862546,10078943,1,2,1,1,11,1,6,1,4,2,1,1,02/04/2019,
3418401851,10079168,2,3,1,1,9,1,6,3,24,2,1,1,21/03/2019,
3418094652,10078903,1,5,1,1,11,1,6,3,24,2,1,1,26/02/2019,
3418923508,10079103,1,2,1,1,12,1,4,1,2,2,1,1,24/01/2019,
3418923508,10079103,2,3,1,1,9,1,4,1,2,2,1,1,24/01/2019,
3317886752,10076316,1,6,1,1,6,2,1,3,8,2,2,2,15/02/2019,
3317462266,10072389,1,5,1,1,4,2,1,3,8,2,2,2,04/01/2019,
3317454920,10078149,1,6,1,2,5,1,1,3,8,2,1,1,03/01/2019,
3317391727,10071211,1,2,1,1,4,2,1,3,18,2,2,2,20/09/2018,
3317077066,10071860,1,5,1,1,9,1,1,3,11,2,2,2,10/04/2019,
3317964996,10071214,1,5,1,1,4,1,1,1,5,2,2,2,04/04/2019,
3117810604,10073915,1,5,1,1,2,1,1,3,13,2,2,2,30/10/2018,
3418323759,10077725,1,3,1,1,9,1,6,1,4,2,1,1,24/12/2018,
3418323759,10077725,2,3,1,1,9,1,6,1,4,2,1,1,24/12/2018,
3117627968,10055874,1,3,1,1,2,2,1,3,15,2,2,2,22/04/2019,
3117716031,10059910,1,4,1,1,7,2,1,3,13,1,1,1,03/02/2018,
3316427395,10059704,1,2,1,1,99,1,6,1,3,2,2,2,08/03/2018,
3316564058,10047808,1,5,1,1,7,1,2,3,13,2,2,2,14/05/2018,
3316706990,10081695,1,6,1,1,4,1,1,1,5,2,2,2,18/04/2019,
3316330326,10060682,1,6,1,1,9,1,2,3,11,2,1,1,04/01/2019,
3316176208,10050748,1,5,1,1,3,2,1,3,12,2,2,2,23/12/2017,
3316490090,10065349,1,6,1,1,4,1,1,3,12,2,2,2,31/12/2018,
3316609270,10054490,1,4,1,1,1,2,1,3,15,2,2,2,01/02/2019,
3117811864,10064934,1,5,1,1,5,1,6,1,2,2,1,1,04/01/2019,
3117043543,10067473,1,6,1,1,2,2,1,3,24,2,2,2,17/03/2019,
3117326522,10064916,1,5,1,1,1,2,1,3,8,2,2,2,04/01/2019,
3117462213,10057688,1,2,1,1,5,1,6,1,6,2,1,1,09/04/2019,
3316564269,10048821,1,4,1,1,3,2,1,1,4,1,2,2,24/04/2019,
3117189455,10049095,1,2,1,1,9,2,2,1,1,1,2,2,14/05/2018,
3316672039,10060640,1,5,1,1,4,2,1,1,4,2,2,2,29/12/2018,
3316415555,10067669,1,5,1,1,4,2,1,3,11,2,2,2,14/02/2019,
3316894047,10081486,1,1,1,1,11,1,6,1,5,2,1,1,26/03/2019,
3316969329,10042561,1,4,1,1,9,2,6,1,2,2,2,2,02/05/2018,
3316314862,10046988,1,4,1,1,4,1,1,3,8,2,2,,03/03/2019,
3316796485,10061238,1,5,1,1,10,1,6,3,11,2,1,2,02/05/2018,
3316154321,10081686,1,6,1,1,1,2,1,1,1,1,2,2,09/04/2019,
3316113118,10055783,1,6,1,1,4,2,1,1,2,2,2,2,23/12/2017,
3117953314,10057139,1,6,1,1,2,1,1,1,3,2,2,2,25/04/2018,
3117145504,10043243,1,2,1,1,4,1,6,1,4,2,1,2,23/12/2017,
3117974916,10067030,1,5,1,1,5,1,2,3,12,2,2,2,28/07/2018,
3117645871,10061342,1,5,1,1,3,2,1,1,4,2,2,2,13/04/2019,
3117096108,10070325,1,3,2,1,5,1,1,3,13,2,2,2,04/01/2019,
3117205663,10050071,1,5,1,1,4,1,1,3,11,2,2,2,23/12/2017,
3117454173,10048868,1,4,1,1,9,1,2,3,34,2,1,2,02/05/2018,
3117191512,10053814,1,5,1,1,4,2,1,1,5,2,2,2,18/08/2018,
3117469219,10049353,1,5,1,1,4,1,1,3,18,2,2,2,07/04/2019,
3316328082,10051884,2,3,1,1,4,1,6,1,5,2,1,2,08/03/2019,
3117509933,10053522,1,5,1,1,4,2,1,3,11,2,2,2,20/02/2019,
